Ta_med;Ta_max;Ta_min;UR_med;UR_max;UR_min;RG;V;P;ET0
28.51;35.21;22.58;50.07;73.9;29.22;16.99488;1.781067382;0;5.213948769
29.13;36.07;23.44;47.54;71.6;24.45;14.48064;2.558327398;0;5.966464947
28;34.48;23.64;47.34;68.94;25.12;13.75488;3.400973031;0;6.515258922
27.36;34.15;22.11;50.78;69.87;30.22;16.5888;2.613582849;0;5.870340283
28.36;35.47;21.19;44.23;74.2;20.48;19.7424;2.586876047;0;6.618995846
28.37;35.93;21.92;45.13;74.8;18.42;19.96704;2.779349203;0;6.971109933
27.9;35.6;21.52;47.14;70.1;24.12;20.26944;2.462551282;0;6.518693716
29.14;37.59;21.06;41.27;74.2;17.89;20.31264;1.548994486;0;5.78530168
30.2;38.18;22.51;38.4;71.7;14.31;20.26944;2.294943079;0;6.927191047
28.92;35.61;24.1;46.37;65.48;25.71;16.2432;4.161656411;0.254;7.710563144
28.36;35.21;21.65;45.24;71;24.59;20.06208;3.188239543;0;7.090054583
28.69;35.35;23.63;44.21;64.96;22.46;18.42912;4.230725725;0;8.105469942
28.29;35.34;21.65;45.02;71.7;22.07;19.71648;4.20770262;0;8.07134951
27.82;34.82;21.45;49.28;73.1;26.64;15.01632;3.698431544;0;6.800028454
28.55;35.21;22.98;42.85;68.15;21.47;19.008;3.810784295;0;7.735225986
27.96;34.95;21.05;47.72;77.2;26.37;16.00128;3.505037464;0.508;6.695825916
28.1;35.21;22.31;45.18;70.5;22.73;18.12672;3.519772251;0;7.272122494
27.97;34.42;23.31;47.31;67.15;26.44;14.48064;2.932222618;0;6.125513007
28.58;35.8;21.98;45.45;71.2;25.31;18.19584;2.265473505;0.254;6.03358134
28.53;35.15;22.78;50.98;72.3;30.95;13.40064;2.480048841;0;5.408508058
28.74;35.07;23.17;50;72.3;29.88;16.5888;2.445974646;0;5.795833797
29.56;36.26;23.5;49.3;73.4;29.09;16.66656;2.568457564;0;6.07677474
29.73;36.13;24.82;48.78;69.13;25.97;16.96896;2.613582849;0;6.31728423
28.76;35.28;23.5;56.25;86.2;30.22;17.37504;2.375984408;5.08;5.647785193
28.83;35.88;23.24;54.33;78;30.02;17.53056;1.28376832;0;4.780161063
29.82;35.6;24.95;48.64;76.2;28.16;15.54336;1.731337476;0;5.02213463
27.64;35.8;23.83;63.83;83.4;31.34;16.49376;1.585831454;3.048;4.883310829
28.29;35.87;22.25;59.59;86.1;28.95;14.20416;1.689895887;0;4.69304589
29.73;37.26;23.83;50.32;76;24.45;19.56096;1.575701288;0;5.597178039
29.37;35.93;23.83;53.18;77.6;31.21;14.99904;1.679765721;0;4.839303471
27.59;33.56;23.5;62.47;79.3;37.11;11.48256;2.682652163;0;4.831846121
27.35;32.96;23.37;56.45;79.9;34.26;11.30976;3.025235961;0;5.093306594
27.86;35.14;23.11;51.01;74.4;26.9;16.51104;2.050898169;0;5.461669047
